ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
468010773/tests/integration/about/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/about/nodejs,Pulumi,typescript,nodejs,A nodejs integration test for the about command,nodejs,,,0,0,0,
468010773/tests/integration/construct_component/dotnet/Pulumi.yaml,468010773,468010773/tests/integration/construct_component/dotnet,Pulumi,csharp,construct_component_dotnet,A program that constructs remote component resources.,dotnet,,,0,0,0,
468010773/tests/integration/construct_component/python/Pulumi.yaml,468010773,468010773/tests/integration/construct_component/python,Pulumi,python,construct_component_py,A program that constructs remote component resources.,python,,,0,0,0,
468010773/tests/integration/construct_component/go/Pulumi.yaml,468010773,468010773/tests/integration/construct_component/go,Pulumi,go,construct_component_go,A program that constructs remote component resources.,go,,,0,0,0,
468010773/tests/integration/construct_component/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/construct_component/nodejs,Pulumi,typescript,construct_component_nodejs,A program that constructs remote component resources.,nodejs,,,0,0,0,
468010773/tests/integration/recreate_resource_check/step1/Pulumi.yaml,468010773,468010773/tests/integration/recreate_resource_check/step1,Pulumi,typescript,recreate_resource_check,A program that tests the engine use of Check on re-created resources,nodejs,,,0,0,0,
468010773/tests/integration/invalid_package_json/Pulumi.yaml,468010773,468010773/tests/integration/invalid_package_json,Pulumi,typescript,invalid_package_json,Validates codepath computation even with an invalid version in the package.json file.,nodejs,,,0,0,0,
468010773/tests/integration/construct_component_plain/dotnet/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_plain/dotnet,Pulumi,csharp,construct_component_plain_dotnet,A program that constructs a remote component resource with prompt inputs.,dotnet,,,0,0,0,
468010773/tests/integration/construct_component_plain/python/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_plain/python,Pulumi,python,construct_component_plain_py,A program that constructs a remote component resource with prompt inputs.,python,,,0,0,0,
468010773/tests/integration/construct_component_plain/go/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_plain/go,Pulumi,go,construct_component_plain_go,A program that constructs a remote component resource with prompt inputs.,go,,,0,0,0,
